울산광역시,75 - 79세,13799,4841,8958,54.00
울산광역시,80 - 84세,7883,2048,5835,35.10
울산광역시,85세이상,4894,917,3977,23.10
울산광역시,15세미만,193915,102226,91689,111.50
울산광역시,15 - 64세,802645,418590,384055,109.00
울산광역시,65세이상,75113,30053,45060,66.70
울산광역시,평균연령,36.0,35.0,37.1,-
울산광역시,연령중위수,37.1,35.9,38.2,-
경기도,계,11196053,5599570,5596483,100.10
경기도,0 - 4세,599224,307459,291765,105.40
경기도,5 - 9세,635460,328270,307190,106.90
경기도,10 - 14세,797332,413012,384320,107.50
경기도,15 - 19세,815660,426147,389513,109.40
경기도,20 - 24세,685567,357162,328405,108.80
경기도,25 - 29세,821115,416451,404664,102.90
경기도,30 - 34세,924453,461923,462530,99.90
경기도,35 - 39세,1074259,537506,536753,100.10
경기도,40 - 44세,1059502,533139,526363,101.30
경기도,45 - 49세,992903,507910,484993,104.70
경기도,50 - 54세,837407,429542,407865,105.30
경기도,55 - 59세,544701,273813,270888,101.10
경기도,60 - 64세,409903,198526,211377,93.90
경기도,65 - 69세,340181,155571,184610,84.30
경기도,70 - 74세,287751,124663,163088,76.40
경기도,75 - 79세,195126,75760,119366,63.50
경기도,80 - 84세,106859,34224,72635,47.10
경기도,85세이상,68650,18492,50158,36.90
경기도,15세미만,2032016,1048741,983275,106.70
경기도,15 - 64세,8165470,4142119,4023351,103.00
경기도,65세이상,998567,408710,589857,69.30
경기도,평균연령,36.2,35.3,37.1,-
경기도,연령중위수,36.6,35.9,37.3,-
강원도,계,1463650,735075,728575,100.90
강원도,0 - 4세,61847,31913,29934,106.60
강원도,5 - 9세,71908,37512,34396,109.10
강원도,10 - 14세,95714,49675,46039,107.90
강원도,15 - 19세,102384,55000,47384,116.10
강원도,20 - 24세,92984,54670,38314,142.70
강원도,25 - 29세,85501,47241,38260,123.50
강원도,30 - 34세,91411,46584,44827,103.90
강원도,35 - 39세,110150,56133,54017,103.90
강원도,40 - 44세,117177,60341,56836,106.20
강원도,45 - 49세,121477,61751,59726,103.40
강원도,50 - 54세,124021,62321,61700,101.00
강원도,55 - 59세,93016,46372,46644,99.40
강원도,60 - 64세,69649,33319,36330,91.70
강원도,65 - 69세,72062,32575,39487,82.50
강원도,70 - 74세,68047,29868,38179,78.20
강원도,75 - 79세,44810,17227,27583,62.50
강원도,80 - 84세,25239,7894,17345,45.50
강원도,85세이상,16253,4679,11574,40.40
강원도,15세미만,229469,119100,110369,107.90
강원도,15 - 64세,1007770,523732,484038,108.20
강원도,65세이상,226411,92243,134168,68.80
강원도,평균연령,40.3,38.6,42.0,-
강원도,연령중위수,40.8,39.1,42.6,-
